timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1738958400,Feb 07 2025 - 8:00pm,complete,N/A,Sport Huancayo,Alianza Atlético,N/A,1,0.00,0.00,1.37,1.63,2,1,3,2,2,0,"31,45'3","51",4,3,5,0,2,0,1,4,0,2,14,9,4,3,10,6,12,14,47,53,0.00,0.00,1.45,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,4.00,6.50,1.42,2.20,3.53,7.36,2.38,1.53,Estadio Huancayo
1739037600,Feb 08 2025 - 6:00pm,complete,N/A,Melgar,UTC Cajamarca,N/A,1,0.00,0.00,1.60,0.92,3,0,3,1,1,0,"77,49,14","",5,9,2,0,2,0,0,2,0,2,12,15,5,2,7,13,16,12,58,42,0.00,0.00,1.45,1.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,7.00,12.00,1.12,1.57,2.21,3.78,2.50,1.50,N/A
1739045700,Feb 08 2025 - 8:15pm,complete,N/A,Atlético Grau,Ayacucho,N/A,1,0.00,0.00,1.09,0.83,1,0,1,1,1,0,"9","",3,1,0,0,2,1,0,0,1,2,9,4,2,2,7,2,14,13,48,52,0.00,0.00,1.06,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,5.25,8.00,2.70,1.67,2.65,4.70,2.00,1.73,N/A
1739059200,Feb 09 2025 - 12:00am,complete,N/A,Alianza Lima,Real Garcilaso,Daniel Ureta,1,0.00,0.00,1.89,1.97,3,0,3,2,2,0,"18,9,55","",8,3,0,0,2,1,0,0,0,3,24,6,6,3,18,3,15,12,41,59,0.00,0.00,2.25,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.38,4.50,8.00,1.22,1.85,2.83,5.15,2.10,1.67,Estadio Alejandro Villanueva
1739124000,Feb 09 2025 - 6:00pm,complete,N/A,Alianza Universidad,Sporting Cristal,N/A,1,0.00,0.00,0.80,1.74,2,2,4,4,2,2,"27,39","10,45'5",7,7,2,0,1,0,0,2,0,1,13,9,3,5,10,4,11,14,59,41,0.00,0.00,1.24,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.33,3.40,1.90,1.29,2.00,3.33,3.52,1.80,1.91,Estadio Heraclio Tapia León
1739131200,Feb 09 2025 - 8:00pm,complete,N/A,Sport Boys,Juan Pablo II College,N/A,1,0.00,0.00,1.03,0.94,1,0,1,0,0,0,"61","",3,1,2,0,1,0,0,2,0,1,17,9,4,1,13,8,14,15,53,47,0.00,0.00,1.65,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,4.10,5.25,1.36,2.10,3.71,6.84,2.20,1.62,Estadio Miguel Grau del Callao
1739133000,Feb 09 2025 - 8:30pm,complete,N/A,Comerciantes Unidos,Universitario,N/A,1,0.00,0.00,1.06,2.26,1,1,2,0,0,0,"90'4","66",0,8,2,0,0,0,0,2,0,0,7,23,2,9,5,14,12,12,40,60,0.00,0.00,0.79,2.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.00,3.40,1.57,3.62,2.40,4.10,8.50,2.38,1.53,Estadio Juan Maldonado Gamarra
1739142000,Feb 09 2025 - 11:00pm,complete,N/A,Cienciano,ADT,N/A,1,0.00,0.00,1.43,1.40,2,2,4,0,0,0,"47,88","82,90'2",8,2,1,0,4,0,1,0,1,3,16,17,3,5,13,12,10,8,47,53,0.00,0.00,1.53,1.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.50,3.50,1.28,2.00,3.55,7.50,1.83,1.83,Estadio Inca Garcilaso de la Vega
1739217600,Feb 10 2025 - 8:00pm,complete,N/A,Los Chankas,Deportivo Garcilaso,N/A,1,0.00,0.00,1.43,1.49,2,2,4,2,1,1,"35,90'4","66,21",4,2,2,0,4,0,1,1,2,2,11,9,2,5,9,4,17,13,60,40,0.00,0.00,1.10,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.10,2.70,1.28,1.90,2.92,5.75,1.67,2.10,Estadio Los Chankas
1739572200,Feb 14 2025 - 10:30pm,complete,N/A,Real Garcilaso,Melgar,N/A,2,0.00,3.00,1.97,1.60,0,1,1,1,0,1,"","42",2,4,0,0,2,0,0,0,1,1,11,18,2,5,9,13,12,13,64,36,0.76,1.45,1.08,1.78,3.00,0,100,100,0,0,50,100,50,100,8.00,5.00,2.80,3.30,2.40,2.89,1.75,2.75,5.00,1.57,2.25,Estadio Inca Garcilaso de la Vega
1739635200,Feb 15 2025 - 4:00pm,complete,N/A,UTC Cajamarca,Deportivo Binacional,N/A,2,0.00,0.00,0.92,1.00,0,4,4,0,0,0,"","59,62,82,90'7",5,3,0,0,3,0,0,0,0,3,13,19,2,8,11,11,8,13,57,43,1.33,0.00,1.34,2.00,1.50,0,50,50,0,0,0,50,50,50,9.00,2.00,1.67,3.50,5.50,1.34,2.10,3.50,6.75,2.10,1.67,N/A
1739642400,Feb 15 2025 - 6:00pm,complete,N/A,ADT,Atlético Grau,N/A,2,1.00,3.00,1.40,1.09,4,3,7,2,1,1,"22,63,56,72","21,47,80",2,6,1,0,1,0,0,1,0,1,10,12,5,6,5,6,16,9,48,52,1.76,1.06,1.22,1.42,2.50,50,50,50,50,0,0,50,50,50,5.00,4.00,1.67,3.70,5.25,1.35,2.10,3.65,7.40,2.00,1.73,N/A
1739651400,Feb 15 2025 - 8:30pm,complete,N/A,Alianza Atlético,Alianza Lima,N/A,2,0.00,3.00,1.63,1.89,3,1,4,1,0,1,"48,69,82","18",3,7,4,0,2,0,1,3,0,2,9,17,6,5,3,12,17,8,37,63,1.04,2.25,1.13,1.83,3.00,50,100,100,0,0,100,100,0,100,11.00,2.00,5.25,3.40,1.70,1.52,2.50,5.00,11.00,2.38,1.53,N/A
1739665800,Feb 16 2025 - 12:30am,complete,N/A,Universitario,Cienciano,Roberto Pérez Gutierrez,2,1.00,1.00,2.26,1.43,3,2,5,2,1,1,"18,51,77","41,60",5,6,3,0,3,0,2,1,1,2,18,9,6,3,12,6,9,12,61,39,2.43,1.53,1.92,0.92,3.00,100,100,50,50,0,0,0,100,100,16.00,1.00,1.25,5.00,15.00,1.27,1.80,3.05,5.80,2.63,1.44,Estadio Monumental
1739721600,Feb 16 2025 - 4:00pm,complete,N/A,Sporting Cristal,Sport Boys,N/A,2,1.00,3.00,1.74,1.03,2,1,3,1,1,0,"38,65","56",10,2,5,1,6,0,1,5,3,3,27,12,8,3,19,9,17,16,53,47,1.15,1.65,2.65,1.16,2.50,50,50,50,50,0,50,50,0,50,10.00,3.00,1.38,4.33,8.00,1.21,1.65,2.65,4.70,1.83,1.83,Estadio Alberto Gallardo
1739729700,Feb 16 2025 - 6:15pm,complete,N/A,Juan Pablo II College,Sport Huancayo,N/A,2,0.00,3.00,0.94,1.37,0,1,1,0,0,0,"","56",1,7,1,1,1,0,0,2,0,1,7,12,1,4,6,8,12,16,51,49,0.76,1.45,0.77,1.31,2.00,50,50,50,0,0,50,50,0,100,5.00,6.00,2.80,3.10,2.60,1.36,2.15,3.71,7.36,1.83,1.83,Estadio Heraclio Tapia León
1739737800,Feb 16 2025 - 8:30pm,complete,N/A,Deportivo Garcilaso,Comerciantes Unidos,N/A,2,1.00,1.00,1.49,1.06,2,1,3,2,1,1,"61,21","40",3,2,2,0,4,1,1,1,1,4,10,9,4,3,6,6,15,24,47,53,1.15,0.79,1.17,0.94,3.00,100,100,50,50,0,50,50,100,100,2.00,6.00,1.30,5.25,9.00,1.23,1.73,2.70,4.80,2.25,1.57,Estadio Inca Garcilaso de la Vega
1739822400,Feb 17 2025 - 8:00pm,complete,N/A,Ayacucho,Alianza Universidad,N/A,2,0.00,1.00,0.83,0.80,3,2,5,3,2,1,"4,26,54","67,24",1,8,3,0,0,0,0,3,0,0,10,10,3,5,7,5,15,3,23,77,0.73,1.24,0.99,1.43,2.50,50,50,50,50,0,50,100,0,0,8.00,5.00,2.60,2.88,2.90,1.31,2.10,3.60,7.10,1.83,1.83,Estadio Ciudad de Cumaná
1740186000,Feb 22 2025 - 1:00am,complete,N/A,Alianza Lima,Juan Pablo II College,N/A,3,1.50,0.00,1.89,0.94,1,0,1,1,1,0,"33","",7,7,4,0,2,0,0,4,2,0,22,9,6,4,16,5,13,9,57,43,2.04,0.77,2.17,1.14,2.25,25,50,50,25,0,25,50,25,100,8.50,3.00,1.20,5.50,11.00,1.19,1.65,2.65,4.47,2.20,1.62,Estadio Alejandro Villanueva
1740247200,Feb 22 2025 - 6:00pm,complete,N/A,Comerciantes Unidos,Los Chankas,N/A,3,0.50,1.00,1.06,1.43,1,1,2,0,0,0,"83","47",6,3,3,1,1,0,0,4,0,1,14,12,3,4,11,8,12,14,55,45,0.86,1.10,1.48,1.23,3.25,100,100,75,50,0,75,75,75,100,5.00,5.50,2.25,3.20,3.20,1.32,2.08,3.40,6.50,1.83,1.83,Estadio Juan Maldonado Gamarra
1740254400,Feb 22 2025 - 8:00pm,complete,N/A,Sport Boys,Ayacucho,N/A,3,1.50,1.50,1.03,0.83,2,1,3,2,2,0,"30,28","47",5,2,2,0,3,0,1,1,0,3,14,10,6,5,8,5,15,12,59,41,1.40,0.86,1.62,1.10,2.50,50,50,50,25,25,25,75,50,75,3.50,7.00,1.67,3.80,4.75,1.29,1.95,3.33,6.23,1.91,1.80,Estadio Miguel Grau del Callao
1740256200,Feb 22 2025 - 8:30pm,complete,N/A,Sport Huancayo,Sporting Cristal,N/A,3,3.00,2.00,1.37,1.74,0,1,1,0,0,0,"","68",7,4,2,0,1,0,0,2,0,1,16,8,4,1,12,7,10,14,51,49,1.38,1.90,1.64,0.74,2.75,75,75,75,25,0,50,75,25,75,14.00,7.00,2.50,3.40,2.63,1.25,1.80,2.97,5.54,1.67,2.10,Estadio Huancayo
1740268800,Feb 23 2025 - 12:00am,complete,N/A,Cienciano,Deportivo Garcilaso,Diego Mirko Haro Sueldo,3,0.50,2.00,1.43,1.49,2,3,5,3,1,2,"22,82","16,45,68",4,4,1,0,5,1,1,0,1,5,19,14,5,5,14,9,11,11,69,31,1.23,1.16,1.92,1.41,4.00,100,100,100,75,25,75,75,75,100,9.50,5.00,2.45,3.20,2.80,1.30,2.00,3.20,6.25,1.73,2.00,Estadio Inca Garcilaso de la Vega
1740333600,Feb 23 2025 - 6:00pm,complete,N/A,Alianza Universidad,ADT,N/A,3,0.50,2.00,0.80,1.40,2,3,5,5,2,3,"39,31","16,1,44",4,3,2,0,4,0,1,1,2,2,14,12,5,7,9,5,11,22,64,36,1.33,1.49,1.76,1.72,5.00,100,100,100,100,50,75,75,75,75,9.50,3.50,2.20,3.20,3.25,1.20,1.75,2.70,4.85,1.57,2.25,Estadio Heraclio Tapia León
1740355200,Feb 24 2025 - 12:00am,complete,N/A,Melgar,Alianza Atlético,N/A,3,3.00,1.50,1.60,1.63,2,1,3,1,0,1,"90'9,84","32",6,2,2,0,6,0,1,1,3,3,20,6,7,1,13,5,12,16,74,26,1.61,1.09,2.19,0.61,2.75,50,75,75,25,0,25,100,50,75,7.50,5.00,1.33,4.75,8.50,1.23,1.75,2.70,4.80,2.10,1.67,N/A
1740438000,Feb 24 2025 - 11:00pm,complete,N/A,Deportivo Binacional,Real Garcilaso,N/A,3,3.00,0.00,1.00,1.97,1,2,3,0,0,0,"54","83,70",2,6,1,0,1,0,1,0,1,0,11,12,3,6,8,6,12,13,45,55,2.00,0.92,1.28,1.45,3.00,0,75,75,50,0,25,50,50,75,5.50,4.50,2.25,3.30,3.10,1.32,1.95,2.97,5.90,1.73,2.00,N/A
1740688200,Feb 27 2025 - 8:30pm,complete,N/A,ADT,Sport Boys,N/A,4,2.33,2.00,1.40,1.03,2,2,4,3,2,1,"7,21","76,40",2,6,2,1,3,1,0,3,2,2,14,11,8,4,6,7,24,6,36,64,1.57,1.48,1.68,1.21,3.83,84,84,84,50,34,50,67,50,84,5.66,6.33,1.44,4.50,6.50,1.21,1.85,3.08,6.15,2.10,1.67,N/A
1740772800,Feb 28 2025 - 8:00pm,complete,N/A,Deportivo Garcilaso,Atlético Grau,N/A,4,2.33,1.50,1.49,1.09,2,0,2,0,0,0,"61,73","",6,5,3,0,1,0,0,3,0,1,10,9,3,2,7,7,16,13,34,66,1.24,1.24,1.07,0.97,4.00,75,75,75,59,42,75,100,59,75,7.50,4.50,1.73,3.50,5.00,1.33,2.05,3.30,6.50,1.91,1.80,Estadio Inca Garcilaso de la Vega
1740852000,Mar 01 2025 - 6:00pm,complete,N/A,Real Garcilaso,UTC Cajamarca,N/A,4,1.00,0.00,1.97,0.92,1,1,2,1,1,0,"42","90'2",5,0,3,0,3,0,1,2,3,0,11,8,4,2,7,6,10,11,57,43,1.10,1.33,1.25,0.84,2.92,17,84,84,25,0,17,59,67,84,10.67,2.33,1.38,4.33,8.50,1.27,1.75,3.05,6.00,2.00,1.73,Estadio Inca Garcilaso de la Vega
1740861000,Mar 01 2025 - 8:30pm,complete,N/A,Alianza Atlético,Deportivo Binacional,N/A,4,1.00,1.50,1.63,1.00,4,1,5,2,2,0,"5,23,70,84","49",0,2,0,1,1,1,1,0,2,0,13,10,6,2,7,8,21,11,44,56,0.93,1.64,1.49,1.01,3.42,75,100,100,42,0,17,50,84,100,5.17,6.00,1.42,4.00,8.00,1.29,2.05,3.75,8.00,2.15,1.60,N/A
